song_id,avg_weight0,avg_weight1,avg_weight2,avg_water_loss1,avg_water_loss2,avg_total_water_loss
0,2.1532999999999998,2.10955,2.0966500000000003,0.0437499999999999,0.012899999999999748,0.0566499999999997
1,2.12135,2.08655,2.07245,0.03480000000000005,0.014099999999999849,0.0488999999999999
2,1.9158,1.8681,1.8608500000000001,0.04769999999999995,0.00725000000000005,0.05495
3,1.82995,1.7755,1.7639,0.054449999999999846,0.0116000000000001,0.06605
4,2.44275,2.3798,2.3705,0.06295000000000005,0.0092999999999998,0.07224999999999986
5,2.2119999999999997,2.16675,2.15565,0.04524999999999995,0.011099999999999801,0.056349999999999845
6,2.43565,2.39155,2.3800999999999997,0.0441,0.01145000000000015,0.055550000000000155
7,2.48585,2.44075,2.42585,0.045099999999999904,0.01489999999999985,0.05999999999999975
8,3.2733,3.21245,3.1936999999999998,0.06085000000000005,0.018750000000000003,0.07960000000000005
9,3.2415000000000003,3.19515,3.1778500000000003,0.0463500000000001,0.01729999999999985,0.06364999999999996
10,2.01935,1.98205,1.97005,0.03730000000000005,0.011999999999999851,0.04929999999999995
11,2.2702999999999998,2.21955,2.2058999999999997,0.050750000000000045,0.0136499999999999,0.06439999999999996
12,2.3152,2.27295,2.263,0.04224999999999985,0.00994999999999985,0.05219999999999975
13,2.2038,2.1601,2.1511,0.04369999999999995,0.00899999999999985,0.0526999999999998
14,2.20545,2.1684,2.1568,0.0370500000000001,0.0115999999999998,0.04864999999999994
15,2.3794,2.3409,2.3311,0.03849999999999995,0.0098,0.048299999999999996
16,2.09155,2.0549999999999997,2.0454,0.0365499999999998,0.0095999999999998,0.04614999999999965
17,2.2127,2.1732,2.16025,0.03950000000000005,0.01294999999999995,0.0524500000000001
18,2.4734,2.41635,2.3985,0.057050000000000003,0.0178500000000001,0.07490000000000015
19,2.19585,2.1580500000000002,2.14555,0.03780000000000005,0.0124999999999999,0.0503
20,2.05615,2.0197000000000003,2.0067500000000003,0.03645000000000005,0.012949999999999951,0.04940000000000005
21,2.2935499999999998,2.2367999999999997,2.22325,0.05675000000000005,0.0135499999999997,0.07029999999999975
22,2.33575,2.2947499999999996,2.2756,0.0410000000000001,0.019149999999999702,0.0601499999999999
23,2.3082000000000003,2.2668,2.25005,0.041399999999999854,0.0167500000000002,0.058150000000000104
24,2.5397499999999997,2.4939,2.4798,0.0458499999999999,0.01409999999999995,0.0599499999999999
25,2.06395,2.0267,2.01365,0.03724999999999985,0.013049999999999999,0.050299999999999845
26,2.26795,2.22315,2.2116,0.044800000000000145,0.0115499999999999,0.056350000000000094
27,1.9646,1.91845,1.90915,0.0461500000000001,0.0092999999999998,0.05544999999999995
28,2.38225,2.3301499999999997,2.3240499999999997,0.0521,0.00609999999999995,0.058199999999999946
29,2.3414,2.2915,2.2772,0.0499,0.0142999999999997,0.06419999999999976
30,2.65305,2.5976,2.58695,0.05544999999999975,0.01065,0.06609999999999974
31,2.10255,2.0503,2.0423,0.0522499999999999,0.00799999999999995,0.060249999999999845
32,2.0991,2.06165,2.05065,0.03744999999999995,0.01099999999999985,0.0484499999999998
33,2.4069000000000003,2.3649500000000003,2.34725,0.04194999999999985,0.0177,0.0596499999999999
34,1.9899,1.95965,1.94915,0.03024999999999995,0.0105,0.040749999999999995
35,2.24795,2.20805,2.1989,0.0398999999999998,0.00914999999999995,0.04904999999999975
36,2.0167,1.9856,1.97275,0.031100000000000003,0.01285,0.04395
37,2.2771,2.24255,2.23,0.0345499999999998,0.012549999999999999,0.0470999999999999
38,2.41835,2.3771,2.3657500000000002,0.04124999999999995,0.01134999999999995,0.05259999999999995
39,2.1127000000000002,2.0755999999999997,2.0660499999999997,0.03710000000000005,0.009549999999999899,0.04665000000000005
40,2.205,2.1625,2.1527,0.04249999999999985,0.0098,0.0522999999999999
41,2.3228,2.2881,2.2872000000000003,0.0346999999999999,0.0008999999999999,0.0355999999999998
42,2.25525,2.22425,2.21,0.0309999999999999,0.01425000000000005,0.04524999999999995
43,2.317,2.28505,2.2748,0.031949999999999895,0.010249999999999999,0.0422
44,2.3407,2.30545,2.28155,0.03524999999999995,0.0239,0.05915
45,2.5642,2.52575,2.5082,0.038450000000000054,0.0175499999999999,0.055999999999999994
46,2.00595,1.98365,1.9727999999999999,0.0222999999999998,0.010849999999999999,0.033149999999999846
