song_id,genre,speaker_id,dry_weight,weight0,weight1,weight2,water_loss1,water_loss2,total_water_loss
35,Electronic,1,1.1763,2.1639,2.1181,2.1095,0.04579999999999984,0.008599999999999941,0.05439999999999978
35,Electronic,2,1.3,2.332,2.298,2.2883,0.03399999999999981,0.009700000000000042,0.04369999999999985
36,Hip Hop,1,1.2085,2.1173,2.0829,2.0709,0.03440000000000021,0.01200000000000001,0.04640000000000022
36,Hip Hop,2,1.0533,1.9161,1.8883,1.8746,0.027799999999999825,0.013700000000000045,0.04149999999999987
37,Hip Hop,1,1.2278,2.3162,2.2778,2.266,0.03839999999999977,0.011800000000000033,0.0501999999999998
37,Hip Hop,2,1.2273,2.238,2.2073,2.194,0.03069999999999995,0.01330000000000009,0.04400000000000004
38,Pop,1,1.4155,2.5745,2.5319,2.5205,0.04260000000000019,0.011399999999999633,0.053999999999999826
38,Pop,2,1.2,2.2622,2.2223,2.211,0.039899999999999824,0.01130000000000031,0.051200000000000134
39,Hip Hop,1,1.1138,2.1508,2.1033,2.0955,0.047499999999999876,0.007800000000000029,0.055299999999999905
39,Hip Hop,2,1.0704,2.0746,2.0479,2.0366,0.02670000000000039,0.011299999999999866,0.038000000000000256
40,Rock,1,1.3076,2.3779,2.3281,2.3183,0.049799999999999844,0.009800000000000253,0.0596000000000001
40,Rock,2,1.0879,2.0321,1.9969,1.9871,0.0351999999999999,0.009799999999999809,0.04499999999999971
41,Hip Hop,1,1.2219,2.2331,2.2112,2.2094,0.02190000000000003,0.0017999999999998018,0.023699999999999832
41,Hip Hop,2,1.3782,2.4125,2.365,2.365,0.047499999999999876,0.0,0.047499999999999876
42,Soul,1,1.3166,2.3415,2.3125,2.295,0.028999999999999915,0.01750000000000007,0.046499999999999986
42,Soul,2,1.2,2.169,2.136,2.125,0.03299999999999992,0.01100000000000012,0.04400000000000004
43,Rock,1,1.2835,2.2861,2.2613,2.252,0.024799999999999933,0.009300000000000086,0.03410000000000002
43,Rock,2,1.2426,2.3479,2.3088,2.2976,0.03909999999999991,0.011200000000000099,0.05030000000000001
44,Rock,1,1.3255,2.4273,2.411,2.3766,0.01629999999999976,0.03440000000000021,0.05069999999999997
44,Rock,2,1.2036,2.2541,2.1999,2.1865,0.05420000000000025,0.013399999999999856,0.0676000000000001
45,Rock,1,1.3543,2.5484,2.5128,2.4917,0.035600000000000076,0.02110000000000012,0.056700000000000195
45,Rock,2,1.4669,2.58,2.5387,2.5247,0.041300000000000114,0.01399999999999979,0.055299999999999905
46,Rock,1,1.0652,1.8188,1.8017,1.7909,0.017099999999999893,0.010800000000000143,0.027900000000000036
46,Rock,2,1.2244,2.1931,2.1656,2.1547,0.027499999999999858,0.01089999999999991,0.03839999999999977
