Tempo,HNR,Spectral_Centroid,Spectral_Bandwith,Spectral_Flatness
151.0,7.438090324401855,1325.2992437890505,1938.6184521518085,0.0022557419724762
151.0,4.8485212326049805,2004.5090573821049,2655.5744052008254,0.0084982551634311
95.0,4.195120334625244,2773.12723275436,2840.678997503852,0.0355579070746898
151.0,8.022712707519531,2124.346777243876,2547.402324795052,0.0135852796956896
161.0,3.299805164337158,3329.728369051117,2978.644115956712,0.050993226468563
151.0,3.667957782745361,3267.94581881866,2813.396450350652,0.0603208616375923
143.0,5.234253883361816,2131.00161177437,2491.107333088259,0.0117419594898819
99.0,2.8775038719177246,2143.33961142449,2574.616736813643,0.0138259567320346
161.0,4.358947277069092,2513.3422759532,2212.47157409036,0.0310953389853239
103.0,2.850838422775269,2884.8535333556856,2775.9474975134794,0.0502441301941871
86.0,3.083900690078736,2739.631186141826,2701.9387509283924,0.0296452939510345
86.0,6.708662509918213,2462.959743426203,2788.7511046355453,0.0146734230220317
117.0,1.725497841835022,2138.90487211858,2082.384784795888,0.0169872473925352
112.0,3.3963735103607178,2841.614568814638,2783.8417358990887,0.0376258678734302
95.0,2.066934823989868,2473.1653117160336,2333.8246691935,0.026022370904684
112.0,6.2822675704956055,1787.8308227030425,2138.9886349216067,0.0064909681677818
123.0,4.417235374450684,2291.3565542211786,2424.1071482349835,0.0196075048297643
161.0,3.238614082336426,2534.0664699945187,2367.287332998823,0.0246856622397899
129.0,6.061227321624756,1780.4677308253138,2243.213917275953,0.0079639004543423
117.0,5.843690872192383,1627.7366526291255,2050.425639032149,0.0064251329749822
123.0,3.22605299949646,2717.440366559215,2733.440560427722,0.0291008315980434
143.0,4.226358890533447,2372.974168150571,2254.9796286146443,0.0157252084463834
89.0,6.600593566894531,1522.7898080935024,1937.7611785884164,0.0077456808649003
117.0,5.4500017166137695,1663.3143879806084,2071.890348718744,0.0095209293067455
117.0,3.6431689262390137,2724.303890450322,2577.820362517965,0.030840752646327
129.0,3.859903335571289,1767.8488310066978,2073.2445106268046,0.0106012560427188
112.0,5.149406909942627,1966.8314657665885,2053.192917539887,0.0095586190000176
129.0,3.8501839637756343,2132.4498780781737,2458.987861924392,0.0167578123509883
123.0,4.691449165344238,1991.152828858757,2369.917903789007,0.0118404496461153
103.0,4.540050029754639,2582.3150201661715,2623.8114865700386,0.0318382009863853
135.0,3.326962471008301,2504.0810989691363,2474.9079141460134,0.0207369904965162
123.0,4.4488139152526855,2311.849715333544,2422.801617164449,0.0266003720462322
95.0,1.878080368041992,2109.218821508209,2211.172451995945,0.0147670563310384
129.0,4.177297115325928,2711.4643741980717,2678.521209218594,0.034511748701334
92.0,6.42562198638916,2119.5361101674985,2663.763228517984,0.0163900144398212
135.0,5.404072284698486,2212.768628168954,2375.326586746391,0.0118702901527285
103.0,4.909857273101807,2065.5187486451773,2341.364869953396,0.010741545818746
80.0,5.365292549133301,2600.580061897374,2864.3550476025907,0.0217458214610815
143.0,5.234235286712647,2806.423271448182,2536.845042669913,0.028915137052536
112.0,1.518784999847412,2643.4622039514625,2383.5632399218653,0.0391105823218822
71.0,4.232442855834961,2620.738402998982,2675.983052581553,0.0284004155546426
161.0,4.581576824188232,2416.4424153099085,2602.963637498434,0.0243506263941526
123.0,5.765740871429443,1949.028172846699,2271.363443880278,0.0171931572258472
135.0,3.000616788864136,2878.5387134989246,2607.198530773099,0.0563314072787761
123.0,3.684113025665283,2232.417721721387,2499.380389855336,0.0203569289296865
143.0,5.118933200836182,2308.705818181398,2445.988695275719,0.0273833088576793
123.0,3.9779224395751953,2438.109139690623,2475.9189734202364,0.0229822546243667
117.0,4.852574348449707,1864.468763281375,2069.1223225219223,0.0103057604283094
69.0,4.52011775970459,2002.732137283187,2348.7609795006992,0.0139588480815291
123.0,4.968226909637451,2153.975435354881,2309.428438109878,0.0148375453427433
95.0,7.344314575195312,2376.1985403639305,2580.724289148629,0.0131664611399173
161.0,3.606831550598145,2572.7947514188163,2450.2765135991785,0.0320309698581695
129.0,6.072847366333008,1772.3771014568445,2100.915391740228,0.0131822768598794
123.0,2.782696485519409,2412.735423536193,2719.7653214526385,0.0202334634959697
123.0,4.189499855041504,2701.638368990035,2471.5286002574194,0.0271586254239082
61.0,5.63383150100708,1456.0010146859568,1900.112686935116,0.0061478274874389
99.0,7.871407985687256,1585.1937273455771,1690.3165941856817,0.0053952727466821
129.0,3.603647947311402,2322.3189366843467,2524.065473816697,0.0270854551345109
117.0,4.467082977294922,2336.806543874773,2572.7470633339426,0.0250128637999296
129.0,5.417438983917236,2367.732239747606,2657.406758234443,0.0186525285243988
161.0,3.036332368850708,2730.7644007678045,2337.39686898391,0.0333409868180751
129.0,2.7409613132476807,2429.4118725962394,2349.1740635634937,0.0269669685512781
112.0,7.573079586029053,1992.3114931901664,2137.6256962889647,0.0165137890726327
151.0,5.778560638427734,1936.0486732728116,2316.900559755893,0.0156405679881572
103.0,7.303800106048584,1896.6852310619515,2204.540886521401,0.0064159841276705
143.0,3.469132661819458,2294.973848992222,2500.6401371902693,0.0248833671212196
161.0,5.342907428741455,1811.421166328457,2222.2484803680504,0.0111317429691553
86.0,6.633485317230225,1129.442294744823,1650.730588127391,0.0024998656008392
123.0,3.4013829231262207,2694.257974218147,2621.5878548212045,0.0314371325075626
103.0,5.152979373931885,1877.9354813641748,2092.0715342269064,0.0118306381627917
161.0,10.301257133483888,1252.4139777364935,1692.6565715105614,0.0014247813960537
80.0,4.322498321533203,3037.2501208489844,2971.2955278973936,0.0344495810568332
161.0,8.60773754119873,1047.3801677984436,1589.977611377406,0.0021409525070339
86.0,2.6011362075805664,2246.5064233814205,2497.806079689609,0.027115287259221
123.0,4.201722145080566,3113.622180158113,2936.206603722646,0.0495313592255115
129.0,3.8349273204803462,1917.900261235931,2307.877473386815,0.0133840246126055
95.0,5.803387641906738,2352.4508871683,2558.407784557297,0.0205318313091993
89.0,3.7000479698181152,2745.44971934299,2666.74610682651,0.0439886972308158
143.0,5.7985358238220215,2660.090352300179,2714.907946005412,0.0270723141729831
135.0,3.829465627670288,1980.7623161669612,2167.8677698059573,0.0174383856356143
99.0,2.643871307373047,2874.647054186819,2718.729219919273,0.0506074167788028
135.0,2.804161310195923,2859.554177718072,2640.2121421587185,0.0654547736048698
129.0,6.11866569519043,2106.039250546208,2474.848004822796,0.0141704501584172
86.0,7.840411186218262,907.3138266945105,1464.7969460701393,0.0023012098390609
151.0,4.906937122344971,2231.7704904620223,2607.533924691147,0.011055639013648
129.0,4.674192905426025,2081.036715510614,2330.327973387013,0.0161638502031564
151.0,6.8719000816345215,1707.0381742673712,2297.479597108219,0.0063337082974612
