,PCA_1,PCA_2,total_water_loss
0,-1.4898732957301974,-0.5317274972820215,0.0337
1,-1.4898732957301974,-0.5317274972820215,0.0389
2,-1.1351041523968168,1.5919809408642143,0.0328
3,-1.1351041523968168,1.5919809408642143,0.0448
4,-1.8168011261354813,-0.33950091562109835,0.0257
5,-1.8168011261354813,-0.33950091562109835,0.0295
6,-2.317718591128566,1.465183678306746,0.0414
7,-2.317718591128566,1.465183678306746,0.036
8,-1.3035526861017308,-0.13616042898146916,0.0259
9,-1.3035526861017308,-0.13616042898146916,0.0256
10,0.5357134721847404,2.0486626382286497,0.0278
11,0.5357134721847404,2.0486626382286497,0.0217
12,-1.1339332891335292,1.4764740053760828,0.0267
13,-1.1339332891335292,1.4764740053760828,0.0266
14,-1.3777916908252772,1.2401160638719424,0.0252
15,-1.3777916908252772,1.2401160638719424,0.0253
16,-1.5721787755444188,-0.1570691422107988,0.0266
17,-1.5721787755444188,-0.1570691422107988,0.0352
18,-1.1975517355835887,0.13647559360265996,0.0255
19,-1.1975517355835887,0.13647559360265996,0.0246
20,-1.6352919897186096,1.0522137244119696,0.0201
21,-1.6352919897186096,1.0522137244119696,0.0287
22,-1.6027973045907948,2.13238906020731,0.0377
23,-1.6027973045907948,2.13238906020731,0.0282
24,-2.0449063874588247,0.05220704251641335,0.0187
25,-2.0449063874588247,0.05220704251641335,0.0251
26,-2.1771391114093377,0.3221477182953493,0.0356
27,-2.1771391114093377,0.3221477182953493,0.0313
28,-2.789838859501701,0.488115326214795,0.0315
29,-2.789838859501701,0.488115326214795,0.0298
30,-2.182565823773308,0.24473038657835375,0.0396
31,-2.182565823773308,0.24473038657835375,0.0375
32,-3.0350888867814407,0.5047332700963475,0.0215
33,-3.0350888867814407,0.5047332700963475,0.0336
34,-1.601967225936385,0.677870711188475,0.0289
35,-1.601967225936385,0.677870711188475,0.0346
36,-2.6453911626295166,0.3166694278481246,0.0222
37,-2.6453911626295166,0.3166694278481246,0.0235
38,-2.4656816110636175,0.08998271305750273,0.0407
39,-2.4656816110636175,0.08998271305750273,0.0288
40,-2.651704437309713,0.8072750248873966,0.0355
41,-2.651704437309713,0.8072750248873966,0.04
42,-2.2602323103435347,0.5929277977653296,0.0279
43,-2.2602323103435347,0.5929277977653296,0.0299
44,-2.803369257736751,0.06256802250947092,0.0256
45,-2.803369257736751,0.06256802250947092,0.0313
46,-2.98907582667299,0.38605058043848856,0.028
47,-2.98907582667299,0.38605058043848856,0.0334
48,-2.9919410004730893,0.1622058646322684,0.0206
49,-2.9919410004730893,0.1622058646322684,0.0292
50,-2.4752768074835236,0.6137086322943569,0.0293
51,-2.4752768074835236,0.6137086322943569,0.0309
52,-2.4040440672741132,-0.2956920766986163,0.0236
53,-2.4040440672741132,-0.2956920766986163,0.0272
54,-3.0301601327701535,0.22401278422004525,0.029
55,-3.0301601327701535,0.22401278422004525,0.0274
56,0.1302415624962272,2.2798841218848596,0.0383
57,0.1302415624962272,2.2798841218848596,0.0341
58,-0.6279788154192335,2.9222709767585227,0.029
59,-0.6279788154192335,2.9222709767585227,0.0225
60,-1.141070624978023,2.2505070751286023,0.0262
61,-1.141070624978023,2.2505070751286023,0.0301
62,-0.5040976466307502,3.5020227025720425,0.0218
63,-0.5040976466307502,3.5020227025720425,0.0338
64,-0.32211421523906525,3.3636480219796114,0.029
65,-0.32211421523906525,3.3636480219796114,0.03
66,-0.9558935019773919,1.5994031949144518,0.0372
67,-0.9558935019773919,1.5994031949144518,0.0281
68,-0.6192359821642174,2.3368403753098663,0.0268
69,-0.6192359821642174,2.3368403753098663,0.0269
70,-1.382863025155365,1.8627725655442962,0.0443
71,-1.382863025155365,1.8627725655442962,0.0298
72,-2.1053739520037524,1.9925462457150753,0.0295
73,-2.1053739520037524,1.9925462457150753,0.0371
74,-0.2502927703551096,2.4155619575624736,0.0271
75,-0.2502927703551096,2.4155619575624736,0.0278
76,-1.6270089785017368,3.3290982298391056,0.0343
77,-1.6270089785017368,3.3290982298391056,0.0371
78,-0.6607695672554383,-1.500180273484806,0.0448
79,-0.6607695672554383,-1.500180273484806,0.0292
80,-0.19050004733271408,-1.235274929343289,0.0441
81,-0.19050004733271408,-1.235274929343289,0.028
82,-0.686325597253687,-1.5261384837568621,0.0257
83,-0.686325597253687,-1.5261384837568621,0.0357
84,-0.7516783739137768,-1.1280663397124857,0.0328
85,-0.7516783739137768,-1.1280663397124857,0.0311
86,-0.7693344472924489,-1.5222039088712531,0.0396
87,-0.7693344472924489,-1.5222039088712531,0.0303
88,-1.551469617166207,-0.658002817745598,0.0375
89,-1.551469617166207,-0.658002817745598,0.04
90,-1.0658492472724455,-0.28764249586526214,0.0397
91,-1.0658492472724455,-0.28764249586526214,0.0378
92,-1.2878606948569196,-1.2158095422123838,0.0294
93,-1.2878606948569196,-1.2158095422123838,0.0273
94,-0.9304812112427943,-1.1238064795293519,0.0314
95,-0.9304812112427943,-1.1238064795293519,0.0458
96,-1.8823744793616084,1.6203388213152672,0.028
97,-1.8823744793616084,1.6203388213152672,0.0383
98,-0.871576738625254,-0.752730192403133,0.0339
99,-0.871576738625254,-0.752730192403133,0.0261
100,-3.0555271713847256,-0.9232700287422405,0.0259
101,-3.0555271713847256,-0.9232700287422405,0.0269
102,-3.361134567883194,-0.709973935536165,0.0272
103,-3.361134567883194,-0.709973935536165,0.0243
104,-3.0749411048863284,-0.9543647585172998,0.024
105,-3.0749411048863284,-0.9543647585172998,0.0335
106,-2.7788622686224236,-0.8060141390054906,0.0274
107,-2.7788622686224236,-0.8060141390054906,0.0212
108,-2.5941814345905696,-1.2858002218059252,0.0241
109,-2.5941814345905696,-1.2858002218059252,0.0324
110,-3.110686477158806,-0.6704071012862031,0.0257
111,-3.110686477158806,-0.6704071012862031,0.0255
112,-3.2300540973243934,-0.667859454896923,0.024
113,-3.2300540973243934,-0.667859454896923,0.0388
114,-3.051029562925318,-0.3821206790249053,0.0297
115,-3.051029562925318,-0.3821206790249053,0.0218
116,-2.9988620891763538,-0.7789190003950517,0.0299
117,-2.9988620891763538,-0.7789190003950517,0.0305
118,-3.3306108075281777,0.001008324120952989,0.0332
119,-3.3306108075281777,0.001008324120952989,0.0248
120,-3.0041923787668163,-0.7427509291742953,0.0221
121,-3.0041923787668163,-0.7427509291742953,0.0287
122,-4.172289882067679,0.07523393304036964,0.0257
123,-4.172289882067679,0.07523393304036964,0.0301
124,-3.542677100556959,-0.05398634309598764,0.0295
